Player,Elo,Games,Wins,Loss,%,Attended,Tournaments
skarfelt,1475,2,0,2,0,1,VS Fighting
silent hero,1475,2,0,2,0,1,TFC
butts mckenzie,1475,2,0,2,0,1,CEO
jctustin,1475,2,0,2,0,1,SCR
emmcub3d,1475,2,0,2,0,1,CEO
frogboat,1475,2,0,2,0,1,CEO
waffle slapper,1475,2,0,2,0,1,SCR
sbh|intehweeds,1475,2,0,2,0,1,CEO
urban shakedown,1475,2,0,2,0,1,SCR
holding,1475,2,0,2,0,1,SCR
ganz_76,1475,2,0,2,0,1,Milan Games Week
kit sbk,1475,2,0,2,0,1,SCR
r-gonaut,1475,2,0,2,0,1,SCR
ottokbron,1475,2,0,2,0,1,SCR
grasshoppa,1475,2,0,2,0,1,Combo Breaker
lord lorenz,1475,2,0,2,0,1,Milan Games Week
dianpao,1475,2,0,2,0,1,CPTA Shanghai
styxtbm,1475,2,0,2,0,1,Texas Showdown
gungnir,1475,2,0,2,0,1,TFC
tss brother joshua,1475,2,0,2,0,1,Texas Showdown
l.grinta,1475,6,2,4,33,2,NorCal Regionals;SCR
ivanpants,1475,4,1,3,25,1,Texas Showdown
plats,1475,2,0,2,0,1,VS Fighting
ut mr gork,1475,2,0,2,0,1,CEO
gatoradmiral,1475,2,0,2,0,1,SCR
goku,1475,2,0,2,0,1,First Attack
pureevilj,1475,2,0,2,0,1,Combo Breaker
tof,1475,2,0,2,0,1,SCR
urbanexpression,1475,2,0,2,0,1,SCR
lilloco562,1475,2,0,2,0,1,SCR
gentle cam,1475,2,0,2,0,1,CEO
rm narwhal,1475,2,0,2,0,1,CEO
zutroi,1475,2,0,2,0,1,Milan Games Week
jeebius,1475,2,0,2,0,1,VS Fighting
pewchee,1475,2,0,2,0,1,CEO
clxjames,1475,2,0,2,0,1,CEO
solda,1475,2,0,2,0,1,Milan Games Week
kenneth,1475,2,0,2,0,1,FV Cup
lf|luoji - fenru,1475,2,0,2,0,1,NorCal Regionals
jed,1475,2,0,2,0,1,SCR
caderax,1475,2,0,2,0,1,NorCal Regionals
bon weiu,1475,2,0,2,0,1,FV Cup
rese|goldenbiscuit,1475,2,0,2,0,1,TFC
thariddler,1475,2,0,2,0,1,CEO
s-blade,1475,2,0,2,0,1,Northwest Majors
pmp revostylez,1475,2,0,2,0,1,First Attack
s̶c̶u̶b̶a̶s̶t̶e̶v̶e̶2̶5̶3̶ ̶-̶ ̶w,1475,2,0,2,0,1,Northwest Majors
hotsoup,1475,2,0,2,0,1,Combo Breaker
zeal,1475,2,0,2,0,1,FV Cup
benteezy,1475,2,0,2,0,1,CEO
freddie m.,1475,2,0,2,0,1,CEO
lorenzo pieracci,1475,2,0,2,0,1,Milan Games Week
fv edwin,1475,2,0,2,0,1,FV Cup
30f|nagai,1475,2,0,2,0,1,Northwest Majors
nicoy tiengo,1475,2,0,2,0,1,Milan Games Week
berri,1475,2,0,2,0,1,Milan Games Week
蔡钦 烈火麦当劳,1475,2,0,2,0,1,CPTA Shanghai
oc,1475,2,0,2,0,1,Ze Fighting Game Champion
gi_vantinel,1475,2,0,2,0,1,CEO
dgskater,1475,2,0,2,0,1,CEO
guro_loli,1475,2,0,2,0,1,Northwest Majors
pan,1475,2,0,2,0,1,Milan Games Week
nico,1475,2,0,2,0,1,Milan Games Week
og|lil evil,1475,6,2,4,33,2,CEO;Defend the North
uptempo87,1475,2,0,2,0,1,CEO
古奇 古奇,1475,2,0,2,0,1,CPTA Shanghai
mr traumallama,1475,2,0,2,0,1,CEO
sinical,1475,2,0,2,0,1,Red Fight District
sater_s1,1475,2,0,2,0,1,Milan Games Week
陈智聪 坑头仔,1475,2,0,2,0,1,HK
hawt salsa,1475,2,0,2,0,1,Northwest Majors
dllinftl,1475,2,0,2,0,1,CEO
spg squalayyy,1475,2,0,2,0,1,CEO
bfl|mowatman,1475,6,2,4,33,2,Hypespotting;VS Fighting
ちーたん,1475,6,2,4,33,1,Nine States
vsf jinty,1475,2,0,2,0,1,EGX
other scott,1475,2,0,2,0,1,CEO
matune,1475,2,0,2,0,1,CPTA KR
陆祁仁 johnny,1475,2,0,2,0,1,CPTA Shanghai
jtd,1475,2,0,2,0,1,Texas Showdown
たいがー,1475,2,0,2,0,1,KSB 2015
pattheflip,1475,2,0,2,0,1,CEO
usps mailmanimp,1475,2,0,2,0,1,Texas Showdown
me shane,1475,2,0,2,0,1,CPTA Last Chance Qualifier
prdrakwolf,1475,2,0,2,0,1,First Attack
mdzor,1475,2,0,2,0,1,Saigon Cup
お花畑,1475,2,0,2,0,1,Nine States
えにてょ,1475,2,0,2,0,1,Nine States
japf,1475,4,1,3,25,1,Dreamhack Winter
springwood slasher,1475,2,0,2,0,1,Combo Breaker
merlock,1475,2,0,2,0,1,Combo Breaker
hnh rs huggybear,1475,2,0,2,0,1,CEO
rocketgruntmark,1475,2,0,2,0,1,Texas Showdown
talal eg,1475,2,0,2,0,1,KO Fighting Game Festival
alex-23,1475,2,0,2,0,1,Texas Showdown
bader almahmeed,1475,2,0,2,0,1,KO Fighting Game Festival
avernaus,1475,2,0,2,0,1,KO Fighting Game Festival
second_son_5ald,1475,2,0,2,0,1,KO Fighting Game Festival
batman,1475,2,0,2,0,1,Texas Showdown
benji v.,1475,2,0,2,0,1,CEO
satc1014,1475,2,0,2,0,1,Taiwan
abodora,1475,2,0,2,0,1,KO Fighting Game Festival
rbr|ecchi mane,1475,2,0,2,0,1,Texas Showdown
ed|mantis,1474,2,0,2,0,1,VS Fighting
iyokuu,1474,2,0,2,0,1,Texas Showdown
nick rb,1474,2,0,2,0,1,Texas Showdown
bo_aseel,1474,2,0,2,0,1,KO Fighting Game Festival
tata chan tata,1474,2,0,2,0,1,HK
偉智/wedi,1474,2,0,2,0,1,Taiwan
sm gill,1474,2,0,2,0,1,Texas Showdown
7ussein_alsalmam,1474,2,0,2,0,1,KO Fighting Game Festival
cecil,1474,2,0,2,0,1,Texas Showdown
demitri,1474,2,0,2,0,1,Texas Showdown
vetash32,1474,2,0,2,0,1,Taiwan
ali_ahli,1474,2,0,2,0,1,KO Fighting Game Festival
ghostshock,1474,2,0,2,0,1,Texas Showdown
lupasan,1474,2,0,2,0,1,CEO
fems,1474,2,0,2,0,1,CEO
hedgiex,1474,2,0,2,0,1,CEO
swoopcoupe,1474,2,0,2,0,1,Texas Showdown
hamad_ahli,1474,2,0,2,0,1,KO Fighting Game Festival
king koopa,1474,6,2,4,33,2,Texas Showdown;CEO
xiao_zhu(france),1474,2,0,2,0,1,Taiwan
the american dream,1474,2,0,2,0,1,Texas Showdown
wtq8|ibraheem,1474,2,0,2,0,1,KO Fighting Game Festival
手把老桑,1474,2,0,2,0,1,Taiwan
aldy,1474,2,0,2,0,1,Abuget Cup
shadowofmath,1474,2,0,2,0,1,KO Fighting Game Festival
fickle platypus,1474,2,0,2,0,1,Texas Showdown
ins aj tucker,1474,2,0,2,0,1,Texas Showdown
hke|toyz(hong kong),1474,2,0,2,0,1,Taiwan
s.i.r. dinky,1474,2,0,2,0,1,Combo Breaker
sman,1474,2,0,2,0,1,Taiwan
kayto_aa,1474,2,0,2,0,1,KO Fighting Game Festival
three6d,1474,2,0,2,0,1,Texas Showdown
betterbryan,1474,2,0,2,0,1,Combo Breaker
aski,1474,2,0,2,0,1,Taiwan
格雷特,1474,2,0,2,0,1,Taiwan
keth,1474,2,0,2,0,1,CEO
faisalalmutairi,1474,2,0,2,0,1,KO Fighting Game Festival
reco子親愛的,1474,2,0,2,0,1,Taiwan
吉米,1474,2,0,2,0,1,Taiwan
botb mr.v,1474,2,0,2,0,1,Texas Showdown
failakawi,1474,2,0,2,0,1,KO Fighting Game Festival
feo grande,1474,2,0,2,0,1,CEO
the demonofmist,1474,2,0,2,0,1,CEO
あかり,1474,2,0,2,0,1,KSB 2015
osama_kun,1474,2,0,2,0,1,KO Fighting Game Festival
da doomsday,1474,2,0,2,0,1,Texas Showdown
ohdomai,1474,2,0,2,0,1,Taiwan
mortal_comebax,1474,2,0,2,0,1,KO Fighting Game Festival
ミゾテル,1474,2,0,2,0,1,KSB 2015
q8tyloco,1474,2,0,2,0,1,KO Fighting Game Festival
frootloop,1474,2,0,2,0,1,Combo Breaker
nopo shrub treks,1474,4,1,3,25,1,CEO
dmv makoto,1474,2,0,2,0,1,CEO
xmen007(hong kong),1474,2,0,2,0,1,Taiwan
様式美,1474,2,0,2,0,1,KSB 2015
peterson,1474,2,0,2,0,1,CEO
mba spartan throne,1474,2,0,2,0,1,EGX
koifishing,1474,2,0,2,0,1,Texas Showdown
sennette,1474,2,0,2,0,1,Saigon Cup
jebus,1474,2,0,2,0,1,Texas Showdown
metalqueersolid,1474,2,0,2,0,1,EGX
gaumin,1474,2,0,2,0,1,Saigon Cup
kilink/kk,1474,2,0,2,0,1,Taiwan
dry captain ook,1474,2,0,2,0,1,EGX
kec|sl burnout,1474,2,0,2,0,1,CPTA KR
pez man 81,1474,2,0,2,0,1,Combo Breaker
rut jabikuta,1474,2,0,2,0,1,CEO
twiggyflacko,1474,2,0,2,0,1,CEO
ss king jae,1474,2,0,2,0,1,EGX
spiritzero,1474,2,0,2,0,1,CPTA KR
娃娃,1474,2,0,2,0,1,Taiwan
mrgrreatness,1474,2,0,2,0,1,CEO
steve791,1474,2,0,2,0,1,CPTA KR
gg|alioufe,1474,2,0,2,0,1,Saigon Cup
troja,1474,2,0,2,0,1,Texas Showdown
feedthehead,1474,2,0,2,0,1,CEO
ferny,1474,2,0,2,0,1,CEO
adil g,1474,2,0,2,0,1,CEO
legato974,1474,2,0,2,0,1,CPTA KR
內子宮崎葵,1474,2,0,2,0,1,Taiwan
pag vgcj maestro,1474,2,0,2,0,1,CEO
sisf,1474,2,0,2,0,1,Combo Breaker
aiku,1474,2,0,2,0,1,CPTA KR
餃子,1474,2,0,2,0,1,Taiwan
svr ascender,1474,2,0,2,0,1,CEO
srkuw|future trunks,1474,2,0,2,0,1,Northwest Majors
reco,1474,2,0,2,0,1,Taiwan
男鴿,1474,2,0,2,0,1,Taiwan
jackiechanningtatum,1474,2,0,2,0,1,Saigon Cup
takuyasugi,1474,2,0,2,0,1,Texas Showdown
ジュリカス jurikasu,1474,2,0,2,0,1,Nine States
quang,1474,2,0,2,0,1,Saigon Cup
のび太,1474,2,0,2,0,1,Nine States
obake,1474,2,0,2,0,1,Red Fight District
welcome to you're doom!,1474,2,0,2,0,1,Northwest Majors
fake hd,1474,2,0,2,0,1,Taiwan
down right fierce,1474,2,0,2,0,1,CEO
schmidt,1474,2,0,2,0,1,CEO
ta|agent ecks,1474,2,0,2,0,1,Texas Showdown
么么小吉吉 么么小吉吉,1474,2,0,2,0,1,CPTA Shanghai
tony tsui gummy2015,1474,2,0,2,0,1,HK
あうぇ４ ｈｇｓｄが,1474,2,0,2,0,1,HK
yanyan(japan),1474,2,0,2,0,1,Taiwan
duc nguyen,1474,2,0,2,0,1,Saigon Cup
vt kirat,1474,2,0,2,0,1,Red Fight District
liquid chillin,1474,2,0,2,0,1,CEO
pote,1474,2,0,2,0,1,Northwest Majors
ao3,1474,2,0,2,0,1,FV Cup
leafyboy12,1474,2,0,2,0,1,CEO
shahril harith,1474,2,0,2,0,1,FV Cup
ake nupa,1474,2,0,2,0,1,Northwest Majors
mdz kampfkeks667,1474,2,0,2,0,1,Red Fight District
vinness ho,1474,2,0,2,0,1,FV Cup
andywuzc,1474,2,0,2,0,1,Taiwan
kenneth hystericyuu,1474,2,0,2,0,1,HK
2iq|mothman,1474,2,0,2,0,1,Texas Showdown
niceguyngo,1474,2,0,2,0,1,Northwest Majors
jackson deruloo,1474,2,0,2,0,1,Northwest Majors
mio bison,1474,2,0,2,0,1,CEO
tam,1474,2,0,2,0,1,Saigon Cup
hashshashiyyin,1474,2,0,2,0,1,Red Fight District
皮皮/pipi,1474,2,0,2,0,1,Taiwan
髭とボイン hige to boin,1474,2,0,2,0,1,Nine States
recon elite,1474,2,0,2,0,1,Combo Breaker
fv sangbubu,1474,2,0,2,0,1,FV Cup
spenttime,1474,2,0,2,0,1,Northwest Majors
guitar7s,1474,2,0,2,0,1,CEO
c88_tbn daymein,1474,2,0,2,0,1,Texas Showdown
set,1474,2,0,2,0,1,CEO
babycakes,1474,2,0,2,0,1,CEO
setx|[kf] @iwasblocking,1474,2,0,2,0,1,Texas Showdown
豆奶,1474,2,0,2,0,1,Ze Fighting Game Champion
大俠趕羚羊,1474,2,0,2,0,1,Taiwan
arkanis,1474,2,0,2,0,1,Texas Showdown
moddren-l fuego,1474,2,0,2,0,1,Texas Showdown
moist,1474,2,0,2,0,1,Northwest Majors
papa giasso,1474,2,0,2,0,1,TFC
屠村客,1474,2,0,2,0,1,Taiwan
terry kok,1474,2,0,2,0,1,FV Cup
tomjw88,1474,2,0,2,0,1,CEO
christian,1474,2,0,2,0,1,Ze Fighting Game Champion
'daitarn 3,1474,2,0,2,0,1,CEO
沈鹏 triple-k,1474,2,0,2,0,1,CPTA Shanghai
mrxrubin,1474,2,0,2,0,1,Northwest Majors
py,1474,2,0,2,0,1,Ze Fighting Game Champion
ucc|mattikus,1474,2,0,2,0,1,Texas Showdown
765pro,1474,2,0,2,0,1,Northwest Majors
[kf] mdrm,1474,2,0,2,0,1,Texas Showdown
汪俊峰 fei-long,1474,2,0,2,0,1,CPTA Shanghai
mehdi,1474,2,0,2,0,1,Ze Fighting Game Champion
yopumpkinhead,1474,2,0,2,0,1,Northwest Majors
紫月,1474,2,0,2,0,1,Ze Fighting Game Champion
30f|teyah,1474,2,0,2,0,1,Northwest Majors
exg convictedoffun,1474,2,0,2,0,1,CEO
ua|mrhoward123,1474,2,0,2,0,1,Texas Showdown
asnakeasolid,1474,2,0,2,0,1,CEO
renzuo,1474,2,0,2,0,1,FV Cup
u_no_hoo,1474,2,0,2,0,1,CEO
kevin munoz,1474,2,0,2,0,1,TFC
anbu arisato,1474,2,0,2,0,1,CEO
tuan,1474,2,0,2,0,1,Northwest Majors
indmou,1474,2,0,2,0,1,Ze Fighting Game Champion
cxhwang,1474,2,0,2,0,1,Northwest Majors
souler,1474,2,0,2,0,1,Ze Fighting Game Champion
dkn29,1474,2,0,2,0,1,Northwest Majors
阿豪,1474,2,0,2,0,1,Taiwan
rain,1474,2,0,2,0,1,Northwest Majors
japhk,1474,2,0,2,0,1,HK
anotheryou,1474,2,0,2,0,1,FV Cup
fatdog,1474,2,0,2,0,1,Ze Fighting Game Champion
mclovin,1474,2,0,2,0,1,TFC
mardon,1474,2,0,2,0,1,Combo Breaker
r.mitake,1474,2,0,2,0,1,Nine States
これ!どれ?アレ!ん kore!dore? are! n,1474,2,0,2,0,1,Nine States
calmspaghetti,1474,2,0,2,0,1,NorCal Regionals
simplyktg,1474,2,0,2,0,1,CEO
dikdik,1474,2,0,2,0,1,FV Cup
beamsprouts,1474,2,0,2,0,1,NorCal Regionals
geronimo,1474,2,0,2,0,1,SCR
jesse munoz,1474,2,0,2,0,1,TFC
ok-gandy,1474,2,0,2,0,1,CEO
graystump,1474,2,0,2,0,1,NorCal Regionals
chibz,1474,2,0,2,0,1,NorCal Regionals
rocksteady,1474,2,0,2,0,1,SCR
ken yeung kenyeung,1474,2,0,2,0,1,HK
jesse hamilton,1474,2,0,2,0,1,TFC
hui chun hin xft-musicwizard,1474,2,0,2,0,1,HK
geenoh,1474,2,0,2,0,1,SCR
ex,1474,6,2,4,33,2,NorCal Regionals;CEO
retro glacius,1474,2,0,2,0,1,SCR
aquamandog,1474,2,0,2,0,1,Combo Breaker
legendarygamer,1474,2,0,2,0,1,SCR
tom b,1474,2,0,2,0,1,VS Fighting
afaliq bin yusof afaliq90,1474,2,0,2,0,1,CPTA Shanghai
el-psy,1474,2,0,2,0,1,CEO
baker,1474,2,0,2,0,1,SCR
l4,1474,2,0,2,0,1,TFC
smbf|oxidopamine,1474,2,0,2,0,1,VS Fighting
kylexxpro,1474,2,0,2,0,1,VS Fighting
empr.pxg daytonj,1474,2,0,2,0,1,Combo Breaker
チキチキン,1474,2,0,2,0,1,Nine States
señor goggles,1474,2,0,2,0,1,SCR
teaseeoh,1474,2,0,2,0,1,CEO
barrazie,1474,2,0,2,0,1,NorCal Regionals
shige,1474,2,0,2,0,1,CPTA Last Chance Qualifier
chase,1474,2,0,2,0,1,SCR
src grayson,1474,2,0,2,0,1,Combo Breaker
reuben,1474,2,0,2,0,1,VS Fighting
zds,1474,2,0,2,0,1,Combo Breaker
eliver ling,1474,2,0,2,0,1,NorCal Regionals
stepmasterryan,1474,2,0,2,0,1,SCR
j.baysik,1474,2,0,2,0,1,NorCal Regionals
choobacca,1474,2,0,2,0,1,CPTA Last Chance Qualifier
professor beef,1474,2,0,2,0,1,NorCal Regionals
gary artairias,1474,2,0,2,0,1,HK
ds|rythla,1474,2,0,2,0,1,VS Fighting
iebg dreammerchant,1474,2,0,2,0,1,SCR
kaptain,1474,2,0,2,0,1,VS Fighting
setx|hd,1474,2,0,2,0,1,Texas Showdown
reiji,1474,2,0,2,0,1,TFC
squid kid,1474,2,0,2,0,1,CPTA Last Chance Qualifier
tombstone,1474,2,0,2,0,1,TFC
ph emberandroses,1474,2,0,2,0,1,SCR
lorichumley05 15,1474,2,0,2,0,1,CPTA Shanghai
shindoru,1474,2,0,2,0,1,VS Fighting
bcw big tone,1474,2,0,2,0,1,CEO
lee chun ho lee,1474,2,0,2,0,1,HK
nb elithecurry,1474,2,0,2,0,1,CEO
shing07,1474,2,0,2,0,1,NorCal Regionals
キッド,1474,2,0,2,0,1,Nine States
wrongonred,1474,2,0,2,0,1,CEO
nz|notinal,1474,2,0,2,0,1,NorCal Regionals
gnixer,1474,2,0,2,0,1,CPTA Last Chance Qualifier
biscuitpinoy,1474,2,0,2,0,1,NorCal Regionals
idiocy,1474,2,0,2,0,1,NorCal Regionals
doons,1474,2,0,2,0,1,NorCal Regionals
pinecone,1474,2,0,2,0,1,SCR
いす市長,1474,2,0,2,0,1,Nine States
vgd,1474,2,0,2,0,1,CPTA Last Chance Qualifier
marquezsf,1474,2,0,2,0,1,NorCal Regionals
terrymc,1474,2,0,2,0,1,Combo Breaker
jt,1474,2,0,2,0,1,NorCal Regionals
dwe|mcbae,1474,2,0,2,0,1,TFC
pmoney,1474,2,0,2,0,1,SCR
phantom miria,1474,2,0,2,0,1,NorCal Regionals
auto au auto,1474,2,0,2,0,1,HK
ramjam,1474,2,0,2,0,1,Combo Breaker
bfl|mr stabbie,1474,2,0,2,0,1,VS Fighting
rst sinful,1474,2,0,2,0,1,CEO
954_doza,1474,2,0,2,0,1,CEO
ed|neodurge,1474,2,0,2,0,1,VS Fighting
j king tha 1st,1474,2,0,2,0,1,Combo Breaker
meatyfp,1474,2,0,2,0,1,CEO
virus,1474,2,0,2,0,1,NorCal Regionals
+dq+,1474,2,0,2,0,1,HK
mr.e,1474,2,0,2,0,1,VS Fighting
ovo demonhead,1474,2,0,2,0,1,SCR
jesse fong,1474,2,0,2,0,1,SCR
rhinostarr,1474,2,0,2,0,1,VS Fighting
mochalatteee,1474,2,0,2,0,1,SCR
noctis_786,1474,2,0,2,0,1,VS Fighting
hertzshmertz,1474,2,0,2,0,1,SCR
ryer,1474,2,0,2,0,1,CEO
missingno.,1474,2,0,2,0,1,SCR
irep shadz,1474,2,0,2,0,1,VS Fighting
setx spurs21,1474,2,0,2,0,1,Texas Showdown
rapidblade05,1474,2,0,2,0,1,Combo Breaker
beast mode,1474,2,0,2,0,1,Texas Showdown
fuzz lightyear,1474,2,0,2,0,1,NorCal Regionals
tsp|timtastic,1474,2,0,2,0,1,NorCal Regionals
nastynizzzle1,1474,2,0,2,0,1,NorCal Regionals
blanco negro,1474,2,0,2,0,1,First Attack
bbs own black_dynowright,1474,2,0,2,0,1,NorCal Regionals
c. chavez,1474,2,0,2,0,1,SCR
ds|pak_mei,1474,2,0,2,0,1,VS Fighting
anbu bpoilspill,1474,2,0,2,0,1,TFC
honestabe,1474,2,0,2,0,1,SCR
setx|tyler (yo.),1474,2,0,2,0,1,Texas Showdown
ed|big man baird,1474,2,0,2,0,1,VS Fighting
bloodmasterlink,1474,2,0,2,0,1,CEO
ssrcg|van slab,1474,2,0,2,0,1,VS Fighting
max'd out,1474,2,0,2,0,1,TFC
sbk,1474,2,0,2,0,1,CPTA Last Chance Qualifier
alfredoedwards 25 alfredoedwards,1474,2,0,2,0,1,HK
clipstream casshern,1474,2,0,2,0,1,CEO
ken-kots,1474,2,0,2,0,1,CEO
joe chau jeono,1474,2,0,2,0,1,HK
shaggy,1474,2,0,2,0,1,VS Fighting
flex negative,1474,2,0,2,0,1,TFC
locojoe,1474,6,2,4,33,2,Combo Breaker;CEO
drago_drk,1474,2,0,2,0,1,NorCal Regionals
andrew gib,1474,2,0,2,0,1,NorCal Regionals
v12 hypnos,1474,2,0,2,0,1,NorCal Regionals
og killatofu,1474,2,0,2,0,1,SCR
og bunch,1474,2,0,2,0,1,CEO
sanchez,1474,2,0,2,0,1,SCR
doscubanos,1474,2,0,2,0,1,CEO
highlevelnovice,1474,2,0,2,0,1,TFC
zee rinkato,1474,2,0,2,0,1,CEO
insertbrainhere,1474,2,0,2,0,1,VS Fighting
dpgl menard,1474,2,0,2,0,1,First Attack
bluesy,1474,2,0,2,0,1,SCR
dmf,1474,2,0,2,0,1,NorCal Regionals
dm|mayho,1474,2,0,2,0,1,SCR
hibiki,1474,2,0,2,0,1,Texas Showdown
pim118,1474,2,0,2,0,1,NorCal Regionals
fadcant pr,1474,2,0,2,0,1,First Attack
jayson,1474,2,0,2,0,1,CPTA Last Chance Qualifier
kjb the hero,1474,2,0,2,0,1,Combo Breaker
gobant,1474,2,0,2,0,1,CEO
thurrabred,1474,2,0,2,0,1,VS Fighting
noggy,1474,2,0,2,0,1,CEO
yy 管家仔,1474,2,0,2,0,1,HK
arcadedreams,1474,2,0,2,0,1,NorCal Regionals
cult of sirlin,1474,2,0,2,0,1,NorCal Regionals
dtflipper,1474,2,0,2,0,1,NorCal Regionals
goukki,1474,2,0,2,0,1,VS Fighting
sroasha,1474,2,0,2,0,1,CEO
gorillapino,1474,2,0,2,0,1,NorCal Regionals
sjbm,1474,2,0,2,0,1,Combo Breaker
hf|tierney,1474,2,0,2,0,1,NorCal Regionals
tiger zebra,1474,2,0,2,0,1,VS Fighting
ramonachan,1474,2,0,2,0,1,First Attack
deanthrax,1474,2,0,2,0,1,CEO
dmc macc,1474,2,0,2,0,1,Combo Breaker
owen tu,1474,2,0,2,0,1,Combo Breaker
昼下がりの団地妻,1474,2,0,2,0,1,Nine States
duke,1474,2,0,2,0,1,VS Fighting
kim il songbo,1474,2,0,2,0,1,CPTA Last Chance Qualifier
toneloki,1474,2,0,2,0,1,NorCal Regionals
ashu j,1474,2,0,2,0,1,CEO
laziepokekai,1474,2,0,2,0,1,NorCal Regionals
hf|dreiss,1474,2,0,2,0,1,NorCal Regionals
sean9217,1474,2,0,2,0,1,VS Fighting
mamobelty,1474,2,0,2,0,1,First Attack
lostperfection,1474,2,0,2,0,1,CEO
naryx,1474,2,0,2,0,1,Combo Breaker
scaryeyes,1474,2,0,2,0,1,Combo Breaker
dux_ryu,1474,2,0,2,0,1,NorCal Regionals
frodo,1474,2,0,2,0,1,Combo Breaker
notbab hadoukant,1474,2,0,2,0,1,Combo Breaker
eddydangerous,1474,2,0,2,0,1,NorCal Regionals
brandon,1474,2,0,2,0,1,Nine States
megaphonejones66,1474,2,0,2,0,1,VS Fighting
chris len,1474,2,0,2,0,1,VS Fighting
majesticstylez,1474,2,0,2,0,1,NorCal Regionals
ke3m07,1474,2,0,2,0,1,CPTA Last Chance Qualifier
aurorakillian 13 aurorakillian,1474,2,0,2,0,1,HK
dex masters,1474,2,0,2,0,1,Combo Breaker
张文亮 happyport,1474,2,0,2,0,1,CPTA Shanghai
dr sharpy,1474,2,0,2,0,1,First Attack
sfo|savant,1474,2,0,2,0,1,VS Fighting
moonrider,1474,2,0,2,0,1,CPTA Last Chance Qualifier
doctor vicious,1474,2,0,2,0,1,CEO
lucius,1474,2,0,2,0,1,CEO
大力 3 3之神大力,1474,2,0,2,0,1,CPTA Shanghai
court,1474,2,0,2,0,1,CEO
やまやん,1474,2,0,2,0,1,Nine States
solidsnaker3d,1474,2,0,2,0,1,CEO
dath,1474,2,0,2,0,1,Ultra Hyakkishu Cup
harpzx007,1474,2,0,2,0,1,VS Fighting
legend of negro,1474,2,0,2,0,1,VS Fighting
rst|ryrie,1474,2,0,2,0,1,Hypespotting
one2remember80,1474,2,0,2,0,1,VS Fighting
rokotsu,1474,2,0,2,0,1,Ultra Hyakkishu Cup
park jkkk hydebuffy,1474,2,0,2,0,1,HK
dr hype,1474,2,0,2,0,1,Hypespotting
鲁俊 水表,1474,2,0,2,0,1,CPTA Shanghai
cheese,1474,2,0,2,0,1,VS Fighting
vs hustle crowe,1474,2,0,2,0,1,Hypespotting
nigiri bison,1474,2,0,2,0,1,Ultra Hyakkishu Cup
teachable,1474,2,0,2,0,1,CEO
1p,1474,2,0,2,0,1,Ultra Hyakkishu Cup
b&b venison,1474,2,0,2,0,1,Combo Breaker
archangel,1474,2,0,2,0,1,VS Fighting
pmcc,1474,2,0,2,0,1,VS Fighting
ornstein,1474,2,0,2,0,1,Hypespotting
justincredible47,1474,2,0,2,0,1,CEO
jacopdr,1474,2,0,2,0,1,KO Fighting Game Festival
lee siu kwan dbj_john,1474,2,0,2,0,1,HK
chilli_palmer,1474,2,0,2,0,1,CEO
eb mars312xd,1474,2,0,2,0,1,Combo Breaker
shunshun,1474,2,0,2,0,1,Ultra Hyakkishu Cup
pootytangfl,1474,2,0,2,0,1,CEO
rst|ruffdawg,1474,2,0,2,0,1,Hypespotting
underage,1474,2,0,2,0,1,Hypespotting
1260-tan,1474,2,0,2,0,1,Ultra Hyakkishu Cup
mmg|spuck,1474,2,0,2,0,1,Hypespotting
tissuemon,1474,2,0,2,0,1,Milan Games Week
legendary mako,1474,2,0,2,0,1,First Attack
施晓波 820821,1474,2,0,2,0,1,CPTA Shanghai
mr. gu,1474,2,0,2,0,1,Combo Breaker
justin chu darkras,1474,2,0,2,0,1,CPTA Shanghai
gr redbaron,1474,2,0,2,0,1,Combo Breaker
onemorething,1474,2,0,2,0,1,Hypespotting
zombie brian,1474,2,0,2,0,1,Hypespotting
midas,1474,2,0,2,0,1,Milan Games Week
olivo,1474,2,0,2,0,1,First Attack
paul ho,1474,2,0,2,0,1,CPTA Last Chance Qualifier
tony tyrant,1474,2,0,2,0,1,HK
squibb,1474,2,0,2,0,1,Milan Games Week
havecontrollerwilltravel,1474,2,0,2,0,1,Combo Breaker
eligtkderic,1474,2,0,2,0,1,CEO
opienus,1474,2,0,2,0,1,CEO
marcorydah,1474,2,0,2,0,1,Milan Games Week
lcx lcx1988,1474,2,0,2,0,1,CPTA Shanghai
gp romora,1474,2,0,2,0,1,CEO
hosea fidel,1474,2,0,2,0,1,Hypespotting
ig|bole,1474,2,0,2,0,1,First Attack
angry black,1474,2,0,2,0,1,Combo Breaker
kaiweiwong homer0708,1474,2,0,2,0,1,HK
eyoh_ajax,1474,2,0,2,0,1,Combo Breaker
colonel suave,1474,2,0,2,0,1,First Attack
sonimatic14,1474,2,0,2,0,1,CEO
tyson,1474,2,0,2,0,1,CPTA Shanghai
alex yang,1474,2,0,2,0,1,CPTA Last Chance Qualifier
hom philocypher,1474,2,0,2,0,1,Combo Breaker
alteredturbomax,1474,2,0,2,0,1,Milan Games Week
julian13,1474,2,0,2,0,1,Combo Breaker
mateo fratus,1474,2,0,2,0,1,Milan Games Week
范伦豪 mars,1474,2,0,2,0,1,CPTA Shanghai
dtjb,1474,2,0,2,0,1,Combo Breaker
terra,1474,2,0,2,0,1,Hypespotting
deathtattoo83,1474,2,0,2,0,1,Combo Breaker
