winner,rounds,loser
Rokkun,,wao
Rokkun,,koji KOG
Rokkun,,FGC|Pugera
POONGKO,,Rokkun
YBK|Shiro,,Sasa
FGC|Prit Bean,,Shougai Adashi-ku Min
YBK|Shiro,,FGC|Prit Bean
stormKUBO,,YBK|Shiro
Okkun,,Ushijima
kai,,tuna
Naio,,Narudo
Ojisan,,Okome Man
Jinzou,,Very Good Tanaka
Ikari no K Bison,,Score
Ikari no K Bison,,Jinzou
YBK|Dashio,,Ikari no K Bison
Ojisan,,Naio
NISHIKIN,,Ojisan
Okkun,,kai
MF|TONPY,,Okkun
YBK|Dashio,,NISHIKIN
YBK|Dashio,,6
MF|TONPY,,stormKUBO
MF|TONPY,,inco
YBK|Dashio,,MF|TONPY
RZR|Fuudo,,YBK|Dashio
RZR|Fuudo,,POONGKO
BE|NEMO,,RZR|Fuudo
BE|NEMO,,EG|Momochi
RB|Bonchan,,BE|NEMO
RZR|Xian,,RB|Bonchan
