winner,rounds,loser
RayChun,2-0,2IQ|Discount Marx
801 Strider,2-0,EPIC | GOL Boi Toi
EPIC | GOL Boi Toi,2-0,RayChun
Coin Up| Ludovic,2-0,DA | Johnny Fraudeulent
801 Strider,2-0,Coin Up| Ludovic
DA | Johnny Fraudeulent,2-1,Nhem Lee
EPIC | GOL Boi Toi,2-0,DA | Johnny Fraudeulent
Coin Up| Ludovic,2-0,EPIC | GOL Boi Toi
482| Jelly,2-0,TakuyaSugi
hero504,2-0,Ben Ho
Moey,2-1,TA|Agent Ecks
VEYM | Noobster,2-0,SpencerJS
Hsien,2-0,VEYM | Noobster
CTRL RayRay,2-0,hero504
LU | CaliPower,2-0,482| Jelly
Hsien,2-0,CTRL RayRay
hero504,2-0,TakuyaSugi
SpencerJS,2-0,TA|Agent Ecks
Ben Ho,2-0,482| Jelly
Ben Ho,2-0,SpencerJS
CTRL RayRay,2-0,Ben Ho
VEYM | Noobster,2-1,hero504
Hsien,2-0,LU | CaliPower
CTRL RayRay,2-0,VEYM | Noobster
LU | CaliPower,2-0,CTRL RayRay
TSS CamBam,2-0,2IQ|Mothman
Maxipoo,2-0,Kung_fru
Llama,2-0,MasterNinja
MLSwear,2-0,TSS CamBam
VGP Chaotix,2-0,Maxipoo
MasterNinja,2-0,TSS CamBam
Pent,2-0,C88_TBN Daymein
MLSwear,2-0,VGP Chaotix
BeastChan23,2-0,Llama
Kung_fru,2-0,C88_TBN Daymein
Llama,2-0,2IQ|Mothman
MasterNinja,2-0,Maxipoo
Llama,2-0,Kung_fru
VGP Chaotix,2-0,Llama
MLSwear,2-0,BeastChan23
Pent,2-0,MasterNinja
VGP Chaotix,2-0,BeastChan23
Crisium,2-0,SETX | [KF] @IWasBlocking
Macto,2-0,Arkanis
Hebrew Hammer,2-0,Moddren-L Fuego
PHS Slip N Slide,2-0,Macto
GameGuys Danny Express,2-1,Crisium
VGP Joe Love,2-0,Hebrew Hammer
Crisium,2-0,Moddren-L Fuego
CuBlanco,2-0,TSS Marsh D Teach
TSS Marsh D Teach,2-0,Arkanis
