winner,rounds,loser
EdgyJohnny,,HF | hainix
JimLi,,Serpent
CxR | @DK_Brawler,,da 206 80z
[62-bit] Finelikewine49,,EdgyJohnny
CxR | @DK_Brawler,,JimLi
Alex Myers,,[62-bit] Finelikewine49
CxR | @DK_Brawler,,Orikasa
TS Sabin,,pH HooDaMan
Alex Myers,,CxR | @DK_Brawler
pH HooDaMan,,Alex Myers
Fullmetal-Alex,,pote
Dogura,,Fullmetal-Alex
Ebomb,,PhD Zeal
Nando Tovar,,Artemis
WHITE GUN,,#bajaboys FuLLBLeeD
AG Nativeimpact,,Hootington
Kizzie Kay,,EMO
El Cubano,,"Welcome To You're Doom!"
Duncan,,GDLK.co | Churro
GDLK.co | Churro,,pote
Dogura,,Ebomb
Nando Tovar,,WHITE GUN
AG Nativeimpact,,Kizzie Kay
El Cubano,,Duncan
GDLK.co | Churro,,"Welcome To You're Doom!"
EMO,,Hootington
#bajaboys FuLLBLeeD,,Artemis
PhD Zeal,,Fullmetal-Alex
WHITE GUN,,GDLK.co | Churro
EMO,,Ebomb
Duncan,,#bajaboys FuLLBLeeD
Kizzie Kay,,PhD Zeal
Nando Tovar,,Dogura
AG Nativeimpact,,El Cubano
WHITE GUN,,EMO
Kizzie Kay,,Duncan
WHITE GUN,,El Cubano
Dogura,,Kizzie Kay
Nando Tovar,,AG Nativeimpact
Dogura,,WHITE GUN
AG Nativeimpact,,Dogura
Yeti,,385wdb|beermir
801 | Jaycetheace,,Yeti
CHG Combo Kin,,Hawt Salsa
pH LPN,,Unclesatan
SCHOWDA,,PewPewU
MC XsK_Samurai,,doc
Zakotou,,Gllty
30F|Slayer-san,,SRKUW|Future Trunks
AC Riki-Oh,,apocaalypse
apocaalypse,,385wdb|beermir
801 | Jaycetheace,,CHG Combo Kin
pH LPN,,SCHOWDA
MC XsK_Samurai,,Zakotou
30F|Slayer-san,,AC Riki-Oh
apocaalypse,,SRKUW|Future Trunks
Gllty,,doc
PewPewU,,Unclesatan
Yeti,,Hawt Salsa
SCHOWDA,,apocaalypse
CHG Combo Kin,,Gllty
AC Riki-Oh,,PewPewU
Zakotou,,Yeti
pH LPN,,801 | Jaycetheace
MC XsK_Samurai,,30F|Slayer-san
SCHOWDA,,CHG Combo Kin
Zakotou,,AC Riki-Oh
SCHOWDA,,30F|Slayer-san
801 | Jaycetheace,,Zakotou
pH LPN,,MC XsK_Samurai
801 | Jaycetheace,,SCHOWDA
801 | Jaycetheace,,MC XsK_Samurai
EG Justin Wong,,Dickson
Julio,,TEMPO|Chris G
CCG|Air,,EG PR Balrog
NeoGAF|KojiKOG,,Brenttiscool
SRKUW|Fawwaz,,EG Ricky Ortiz
TS Sabin,,pH Hoodaman
Nando Tovar,,AG NativeImpact
pH LPN,,801 JayceTheAce
EG PR Balrog,2-0,Brenttiscool
EG Ricky Ortiz,2-0,pH Hoodaman
TEMPO|Chris G,2-1,Dickson
AG NativeImpact,2-0,801 JayceTheAce
EG Justin Wong,2-1,Julio
NeoGAF|KojiKOG,2-0,CCG|Air
TS Sabin,2-0,SRKUW|Fawwaz
pH LPN,2-1,Nando Tovar
TEMPO|Chris G,2-0,Nando Tovar
SRKUW|Fawwaz,2-1,EG PR Balrog
CCG|Air,2-1,EG Ricky Ortiz
AG NativeImpact,2-0,Julio
TEMPO|Chris G,3-1,SRKUW|Fawwaz
AG NativeImpact,3-1,CCG|Air
EG Justin Wong,3-1,NeoGAF|KojiKOG
pH LPN,3-1,TS Sabin
NeoGAF|KojiKOG,3-0,TEMPO|Chris G
TS Sabin,3-0,AG NativeImpact
EG Justin Wong,3-0,pH LPN
NeoGAF|KojiKOG,3-0,TS Sabin
NeoGAF|KojiKOG,3-0,pH LPN
EG Justin Wong,3-2,NeoGAF|KojiKOG
