winner,rounds,loser
SA Shank,2-0,guitar7s
Joe Shyne,2-0,HnH RS HuggyBear
PAG Sabo,2-0,Schmidt
Flavored,2-0,RPD MCZ Alex Smith
MisfitPenguin,2-0,HectorPutrid
iusedoom,2-0,Benji V.
BE Kane Blueriver,2-1,Kingblack
Joe Shyne,2-1,SA Shank
PAG Sabo,2-0,Flavored
iusedoom,2-0,MisfitPenguin
AO Omega Tom Hanks,2-0,BE Kane Blueriver
Joe Shyne,2-1,Rugalitarian
Buttermilk Chris,2-0,PAG Sabo
iusedoom,2-1,J. Caesar II
AO Omega Tom Hanks,2-0,Joe Shyne
Buttermilk Chris,2-0,iusedoom
DaFeetLee,2-0,AO Omega Tom Hanks
SRKUW Fawwaz,2-0,Buttermilk Chris
DaFeetLee,2-1,SRKUW Fawwaz
DaFeetLee,2-1,DL Four Wude
SA Ghost,2-0,TwiggyFlacko
Shin Rico Suave,2-0,Peterson
YOMI | Stan,2-0,SSquirtDirt
CS IceDarkness,2-0,The DemonOFMist
Conmystro,2-0,Cuddles
Blazing,2-0,Gailim
bagelobo,2-0,hedgiex
KrHs Tan-Tan,2-1,Belmont
Toucan Steve,2-0,Fems
BiGViC340,2-0,Lupasan
YOMI Da Knut,2-0,Nate Fearless
Qanba Douyu Dakou,2-0,SA Ghost
Shin Rico Suave,2-0,YOMI | Stan
PAG Lionheart,2-0,CS IceDarkness
Mister Keebler,2-0,Conmystro
Blazing,2-0,EG JWong
bagelobo,2-0,KrHs Tan-Tan
CORN alucarD,2-0,Toucan Steve
YOMI Da Knut,2-0,BiGViC340
Qanba Douyu Dakou,2-0,Shin Rico Suave
PAG Lionheart,2-0,Mister Keebler
bagelobo,2-0,Blazing
CORN alucarD,2-0,YOMI Da Knut
Qanba Douyu Dakou,2-1,PAG Lionheart
bagelobo,2-1,CORN alucarD
Qanba Douyu Dakou,2-0,bagelobo
SSquirtDirt,2-0,Peterson
Belmont,2-0,hedgiex
Nate Fearless,2-0,Lupasan
BiGViC340,2-0,TwiggyFlacko
Toucan Steve,2-0,SSquirtDirt
KrHs Tan-Tan,2-0,The DemonOFMist
EG JWong,2-0,Cuddles
Gailim,2-0,Conmystro
CS IceDarkness,2-0,Belmont
YOMI | Stan,2-0,Fems
Nate Fearless,2-0,SA Ghost
BiGViC340,2-0,Toucan Steve
KrHs Tan-Tan,2-0,EG JWong
CS IceDarkness,2-0,Gailim
YOMI | Stan,2-0,Nate Fearless
Mister Keebler,2-0,BiGViC340
KrHs Tan-Tan,2-1,Shin Rico Suave
YOMI Da Knut,2-0,CS IceDarkness
YOMI | Stan,2-0,Blazing
Mister Keebler,2-1,KrHs Tan-Tan
YOMI Da Knut,2-0,YOMI | Stan
CORN alucarD,2-0,Mister Keebler
PAG Lionheart,2-0,YOMI Da Knut
CORN alucarD,2-0,PAG Lionheart
CORN alucarD,2-1,bagelobo
MCZ Mago,2-1,Qanba Douyu Dakou
Bonchan,2-0,Julio
YOMI Dieminion,2-1,RZR Fuudo
801 Strider,2-1,MCZ Daigo
Snake Eyez,2-0,Booker
Kazunoko,2-1,EG Ricki Ortiz
MCZ Tokido,2-0,AVerMedia GamerBee
PIE Smug,2-1,EG Momochi
Kazunoko,2-0,Snake Eyez
801 Strider,2-1,YOMI Dieminion
Infiltration,,TSC Sanford Kelly
Infiltration,,AVerMedia GamerBee
CORN alucarD,,DaFeetLee
CORN alucarD,2-1,EG Momochi
Alex Myers,,Velociraptor
EG Ricki Ortiz,,Alex Myers
Liquid NuckleDu,,EG K-BRAD
Liquid NuckleDu,,Booker
Qanba Douyu Xiaohai,,r/kappa Ex Pugera
Qanba Douyu Xiaohai,,MCZ Daigo
TS Sabin,,CEO CJ Truth
RZR Fuudo,,TS Sabin
Tempo Chris G,,Hsien Chang
Qanba Douyu Dakou,,Tempo Chris G
MCZ Mago,2-0,Bonchan
PIE Smug,2-0,MCZ Tokido
EG PR Balrog,,iPeru
EG PR Balrog,,Julio
EG PR Balrog,2-1,Qanba Douyu Dakou
Qanba Douyu Xiaohai,2-1,RZR Fuudo
Liquid NuckleDu,,EG Ricki Ortiz
Bonchan,2-0,Liquid NuckleDu
EG PR Balrog,2-0,Snake Eyez
Infiltration,2-0,CORN alucarD
Qanba Douyu Xiaohai,2-1,MCZ Tokido
YOMI Dieminion,2-1,Infiltration
Kazunoko,3-1,PIE Smug
801 Strider,3-2,MCZ Mago
EG PR Balrog,3-2,Qanba Douyu Xiaohai
YOMI Dieminion,3-2,Bonchan
EG PR Balrog,3-2,MCZ Mago
PIE Smug,3-1,YOMI Dieminion
EG PR Balrog,3-1,PIE Smug
Kazunoko,3-2,801 Strider
801 Strider,3-2,EG PR Balrog
Kazunoko,3-1,801 Strider
