winner,rounds,loser
XIAN,2-0,K BRAD
LUFFY,2-0,REIKETSU
EITA,2-0,SHIRO
PRODIGAL SON,2-1,KINDEVU
RB,2-1,TONPY
K BRAD,2-0,PRO FLUKE
PRODIGAL SON,2-1,TONPY
LUFFY,3-2,EITA
PRODIGAL SON,3-2,K BRAD
FUUDO,3-2,GONZALES
XIAN,3-2,RB
PRODIGAL SON,3-0,GONZALES
RB,3-0,LUFFY
XIAN,3-2,FUUDO
RB,3-0,PRODIGAL SON
FUUDO,3-2,RB
FUUDO,3-2,XIAN
FUUDO,3-0,XIAN
