winner,rounds,loser
TFA GERMAN LUGER,2-0,PGFX El Chakotay
@theb00st,2-0,Gilky
AzteCzar,2-0,NeoGaf Shackzam
Shogun17,2-0,SISF
VGP | Andre West,2-0,BetterBryan
@theb00st,2-0,Merlock
GKA Soul Below,2-0,@theb00st
AzteCzar,2-1,Johnny Xrd
Kenshiro,2-1,Shogun17
VGP | Andre West,2-1,ZachInABox
AzteCzar,2-0,GKA Soul Below
VGP | Andre West,2-0,Kenshiro
GG.Sherryjenix,2-1,AzteCzar
VGP | Andre West,2-0,CORN BootlegWinner
VGP | Andre West,2-1,GG.Sherryjenix
PGFX El Chakotay,2-0,VGP | Andre West
stuntastic,2-0,Moony Blues
EG K-BRAD,2-0,stuntastic
NE YooYoung,2-0,Springwood Slasher
PGFX Kiu,2-0,Recon Elite
Ohgrr,2-0,Zaybak
DannyBoyPERU,2-1,WH Vicious
Joshua Alexander,2-0,Billy McGee
Hadokenfieds,2-1,The Last Hairbender
DoctorStantz,2-0,Rudetuna
EG K-BRAD,2-0,NE YooYoung
PGFX Kiu,2-0,Ohgrr
Joshua Alexander,2-0,DannyBoyPERU
DoctorStantz,2-0,Hadokenfieds
EG K-BRAD,2-0,PGFX Kiu
Joshua Alexander,2-0,DoctorStantz
EG K-BRAD,2-0,Joshua Alexander
Moony Blues,2-0,Rudetuna
Moony Blues,2-0,The Last Hairbender
WH Vicious,2-0,Billy McGee
Zaybak,2-0,Recon Elite
stuntastic,2-0,Springwood Slasher
Ohgrr,2-0,Moony Blues
WH Vicious,2-0,NE YooYoung
Zaybak,2-0,Hadokenfieds
DannyBoyPERU,2-0,stuntastic
Ohgrr,2-1,WH Vicious
DannyBoyPERU,2-0,Zaybak
Ohgrr,2-1,DoctorStantz
DannyBoyPERU,2-0,PGFX Kiu
DannyBoyPERU,2-0,Ohgrr
DannyBoyPERU,2-0,Joshua Alexander
CatchTheseLegs,2-0,Izzy
OniLink,,B&B MM_FOOD
CORN Sethlolol,2-1,silverhydra
TGL GiefKid,2-0,GreedyChun
BAB Zachary Unitedstates,2-0,Spree
iShotto,,BE Kane Blueriver
ddrsensation,,Krono
Jacky Cannons,,Bass NS
CatchTheseLegs,2-0,OniLink
CORN Sethlolol,2-0,TGL GiefKid
BAB Zachary Unitedstates,2-0,iShotto
Jacky Cannons,2-1,ddrsensation
CORN Sethlolol,2-1,CatchTheseLegs
BAB Zachary Unitedstates,2-0,Jacky Cannons
CORN Sethlolol,2-0,BAB Zachary Unitedstates
Bass NS,,Krono
Spree,,BE Kane Blueriver
GreedyChun,2-1,silverhydra
Izzy,,B&B MM_FOOD
TGL GiefKid,,Bass NS
Spree,2-1,OniLink
GreedyChun,2-0,ddrsensation
Izzy,2-0,iShotto
TGL GiefKid,2-0,Spree
Izzy,2-0,GreedyChun
TGL GiefKid,2-0,Jacky Cannons
CatchTheseLegs,2-0,Izzy
TGL GiefKid,2-0,CatchTheseLegs
BAB Zachary Unitedstates,2-0,TGL GiefKid
Ral,2-0,cities
Liquid`NuckleDu,2-0,Ral
ColdVoid,2-0,hotSoup
Okira,2-0,Julian13
