winner,rounds,loser
CDV.MCZ.Will2pac,,Forward Dash
Afi,,Yagami
Kreymore,,Bobbis
Chinoooo,,SFO Brylarke
GxC Damascus,,Jojo
DaFeetLee,,Salty Kid
Gonzalez,,Warbio
Reiketsu,,Pro Fluke
LLL`MBR,,CDV.MCZ.Will2pac
RMZ,,Afi
IND | Ixion,,Kreymore
FA|Big Bird,,Chinoooo
GxC Damascus,,IND | Kwiddo
BX3.Tp-Link veggey,,DaFeetLee
Gonzalez,,Melty.Cuongster
LLL`MBR,,Reiketsu
RMZ,,IND | Ixion
FA|Big Bird,,GxC Damascus
Gonzalez,,BX3.Tp-Link veggey
KIG Problem X,,LLL`MBR
RMZ,,FA|Ryan Hart
FGCBR | Keoma,,FA|Big Bird
Meltdown|Luffy,,Gonzalez
RMZ,,KIG Problem X
Meltdown|Luffy,,FGCBR | Keoma
humanbomb,,RMZ
Meltdown|Luffy,,RIZE|Infexious
Meltdown|Luffy,,humanbomb
Meltdown|Luffy,,BX3.Tp-Link Phenom
RZR Xian,,Meltdown|Luffy
