winner,rounds,loser
板橋ザンギエフ Itazan,2-0,天津飯
YBK Kim1234,2-0,めりっぷ
ワンチャン太郎,2-0,アミユ
板橋ザンギエフ Itazan,2-0,YBK Kim1234
ちゃー,2-0,TheFlyingCheese
のえ,2-0,ムラヲ
ちーたん,2-0,あきやま
そぼろんぐ,2-0,ちーたん
のえ,2-0,ニア
ちゃー,2-0,天津飯
FSM Spabobin,2-0,めりっぷ
ちゃー,2-0,FSM Spabobin
のえ,2-0,そぼろんぐ
YBK Kim1234,2-0,のえ
アミユ,2-0,ちゃー
アミユ,2-0,YBK Kim1234
ワンチャン太郎,2-0,板橋ザンギエフ Itazan
板橋ザンギエフ Itazan,2-0,アミユ
r/kappa poongko,1-0,kawaguchi
inco,1-0,mizoteru
Shiro,1-0,r/kappa pepeday
Kindo,1-0,Gattikun
Anton,1-0,Chiaki
Nishikin,1-0,Hikarin
Misse,1-0,RZR Itazan
R/kappa Infiltration,1-0,Akimo
r/kappa poongko,2-0,inco
Shiro,2-0,Kindo
mizoteru,2-0,kawaguchi
RZR Itazan,2-0,Akimo
Gattikun,2-0,r/kappa pepeday
Chiaki,2-0,Hikarin
R/kappa Infiltration,2-0,Misse
inco,2-0,RZR Itazan
Nishikin,2-0,Anton
Kindo,2-0,Chiaki
mizoteru,2-0,Misse
Shiro,3-0,r/kappa poongko
Gattikun,2-0,Anton
inco,2-0,Kindo
R/kappa Infiltration,3-0,Nishikin
Gattikun,2-0,mizoteru
R/kappa Infiltration,3-0,Shiro
r/kappa poongko,3-0,Gattikun
inco,3-0,Nishikin
r/kappa poongko,3-0,inco
r/kappa poongko,3-0,Shiro
R/kappa Infiltration,5-4,r/kappa poongko
