winner,rounds,loser
Tempo/ ChrisG,,pieguy
BlockBuster Jon,,Falcomist
Tempo/ ChrisG,,BlockBuster Jon
Tempo/ ChrisG,,SD | Tempest
Infiltration,,Tempo/ ChrisG
Clim,,Dchong
200yen,,DemonLos
Hydro,,Fuzz Lightyear
200yen,,Hydro
Liquid`NuckleDu,,Clim
Liquid`NuckleDu,,200yen
Hsien Chang,,GearBox63
JKD,,GPL - Tommy Pickles
Hsien Chang,,JKD
Karmaa,,Pigeon
Lamune,,Virus
Karmaa,,Lamune
Hsien Chang,,Karmaa
Liquid`NuckleDu,,Hsien Chang
Dchong,,Lamune
DemonLos,,Fuzz Lightyear
DemonLos,,JKD
Dchong,,DemonLos
Dchong,,200yen
GPL - Tommy Pickles,,GearBox63
Hydro,,GPL - Tommy Pickles
Pigeon,,Virus
Clim,,Pigeon
Clim,,Hydro
Clim,,Karmaa
Clim,,Dchong
Hsien Chang,,Clim
Liquid`NuckleDu,,Hsien Chang
801 Strider,,Accurate
OneTimeHero,,AntMan
Team Seaslug,,Misteranthropy
Nando Tovar,,BEASTBAMBA
CCG|Air,,NGamer3k
Skullied,,Phantom Miria
SMBG|BakedMotatoes,,Sean-go
CE | Kumo,,Alex Myers
801 Strider,,OneTimeHero
Team Seaslug,,Nando Tovar
CCG|Air,,Skullied
CE | Kumo,,SMBG|BakedMotatoes
801 Strider,,Team Seaslug
CCG|Air,,CE | Kumo
801 Strider,,CCG|Air
AntMan,,Accurate
Misteranthropy,,BEASTBAMBA
NGamer3k,,Phantom Miria
Alex Myers,,Sean-go
SMBG|BakedMotatoes,,AntMan
Misteranthropy,,Skullied
Nando Tovar,,NGamer3k
Alex Myers,,OneTimeHero
SMBG|BakedMotatoes,,Misteranthropy
Alex Myers,,Nando Tovar
Team Seaslug,,SMBG|BakedMotatoes
Alex Myers,,CE | Kumo
Alex Myers,,Team Seaslug
CCG|Air,,Alex Myers
801 Strider,,CCG|Air
EG Momochi,,apocaalypse
Dojo_Got_Trees,,JT
DKT,,L.Grinta
MookMonster,,MarquezSF
Choiboy,,Muratto
RMfluffy,,PewPewU
Steeeeve,,ThreeCentipedes
Trevonte,,Doons
EG Momochi,,Dojo_Got_Trees
MookMonster,,DKT
Choiboy,,RMfluffy
Steeeeve,,Trevonte
Choiboy,,Steeeeve
EG Momochi,,MookMonster
apocaalypse,,JT
L.Grinta,,MarquezSF
Muratto,,PewPewU
ThreeCentipedes,,Doons
Trevonte,,apocaalypse
L.Grinta,,RMfluffy
DKT,,Muratto
ThreeCentipedes,,Dojo_Got_Trees
Trevonte,,L.Grinta
DKT,,ThreeCentipedes
MookMonster,,Trevonte
Steeeeve,,DKT
Steeeeve,,MookMonster
EG Momochi,,Choiboy
Choiboy,,Steeeeve
EG Momochi,,Choiboy
EG K-BRAD,,T3P Wrathmatics
Kapwan,,Idiocy
HF | hainix,,fera
Kineda,,BiscuitPinoy
iPeru,,Mr. sparkle
NinjamaTic,,NZ | Notinal
SD_WATT,,Shing07
Bryan Papa,,T-Venom
EG K-BRAD,,Kapwan
Kineda,,HF | hainix
iPeru,,NinjamaTic
Bryan Papa,,SD_WATT
EG K-BRAD,,Kineda
iPeru,,Bryan Papa
EG K-BRAD,,iPeru
T3P Wrathmatics,,Idiocy
fera,,BiscuitPinoy
Mr. sparkle,,NZ | Notinal
T-Venom,,Shing07
T3P Wrathmatics,,SD_WATT
fera,,NinjamaTic
HF | hainix,,Mr. sparkle
Kapwan,,T-Venom
T3P Wrathmatics,,fera
HF | hainix,,Kapwan
Kineda,,T3P Wrathmatics
HF | hainix,,Bryan Papa
Kineda,,HF | hainix
iPeru,,Kineda
EG K-BRAD,,iPeru
MCZ | Daigo,,Asimulation
Disabel,,DM | Burn Notice
GG.Sherryjenix,,Miss ShinoBee
Crackfiend,,Joutai
CCG | Chirithy,,JuantonimoBay
K/D_HeyZeus775,,JaYTaG
SCHOWDA,,Professor Beef
UGC Vicious,,MilitaryMind510
DM | Burn Notice,,Asimulation
Joutai,,Miss ShinoBee
JaYTaG,,JuantonimoBay
MilitaryMind510,,Professor Beef
MCZ | Daigo,,Disabel
Crackfiend,,GG.Sherryjenix
MCZ | Daigo,,Crackfiend
CCG | Chirithy,,K/D_HeyZeus775
UGC Vicious,,SCHOWDA
UGC Vicious,,CCG | Chirithy
MCZ | Daigo,,UGC Vicious
DM | Burn Notice,,SCHOWDA
K/D_HeyZeus775,,Joutai
GG.Sherryjenix,,JaYTaG
Disabel,,MilitaryMind510
K/D_HeyZeus775,,DM | Burn Notice
GG.Sherryjenix,,Disabel
Crackfiend,,K/D_HeyZeus775
CCG | Chirithy,,GG.Sherryjenix
CCG | Chirithy,,Crackfiend
UGC Vicious,,CCG | Chirithy
MCZ | Daigo,,UGC Vicious
eg Ricky ortiz,,LDO
cyberchink,,J.Baysik
DM Willpower,,SuddenBlackout
CE | Boba Tapioca,,Eliver Ling
Marq Teddy,,JuggerNaughty
Seventh Trumpet,,BIGDANMUL
Thrillhouse,,VDon
G-Dragon,,T3P Valiant
eg Ricky ortiz,,cyberchink
CE | Boba Tapioca,,DM Willpower
Marq Teddy,,Seventh Trumpet
G-Dragon,,Thrillhouse
Marq Teddy,,G-Dragon
eg Ricky ortiz,,CE | Boba Tapioca
eg Ricky ortiz,,Marq Teddy
LDO,,J.Baysik
SuddenBlackout,,Eliver Ling
JuggerNaughty,,BIGDANMUL
T3P Valiant,,VDon
T3P Valiant,,cyberchink
DM Willpower,,JuggerNaughty
SuddenBlackout,,Seventh Trumpet
Thrillhouse,,LDO
Thrillhouse,,SuddenBlackout
T3P Valiant,,DM Willpower
T3P Valiant,,G-Dragon
Thrillhouse,,CE | Boba Tapioca
Thrillhouse,,T3P Valiant
Marq Teddy,,Thrillhouse
eg Ricky ortiz,,Marq Teddy
r/Kappa Poongko,,YogaDon
Armageddon8,,barrazie
Wolf Street,,Daft
Haywad,,IFD Delusion
Julio,,Mathlete
XTR SD | Alexis,,Sir Reginald
DM | Casual Phil,,SMBG|Tangent
MC| PxG XsK_Samurai,,Scar
r/Kappa Poongko,,Armageddon8
Haywad,,Wolf Street
Julio,,XTR SD | Alexis
MC| PxG XsK_Samurai,,DM | Casual Phil
r/Kappa Poongko,,Haywad
MC| PxG XsK_Samurai,,Julio
YogaDon,,barrazie
Daft,,IFD Delusion
Sir Reginald,,Mathlete
SMBG|Tangent,,Scar
YogaDon,,DM | Casual Phil
XTR SD | Alexis,,Daft
Wolf Street,,Sir Reginald
SMBG|Tangent,,Armageddon8
XTR SD | Alexis,,YogaDon
SMBG|Tangent,,Wolf Street
XTR SD | Alexis,,Haywad
Julio,,SMBG|Tangent
Julio,,XTR SD | Alexis
r/Kappa Poongko,,MC| PxG XsK_Samurai
MC| PxG XsK_Samurai,,Julio
r/Kappa Poongko,,MC| PxG XsK_Samurai
Nacer,,OTAKU Strawberryball
Kurokiba,,Ex
PIE | SMUG,,HF | inorite
PeeJay,,Revolver Sagod
brenttiscool,,Snow Cone
OTAKU Strawberryball,,HF | inorite
DM | Mr. Tails,,chibz
EG PR Balrog,,775 Ya0
Hargi,,Graystump
PIE | SMUG,,Nacer
Revolver Sagod,,Snow Cone
775 Ya0,,chibz
Kurokiba,,Hargi
brenttiscool,,PeeJay
Ex,,Graystump
EG PR Balrog,,DM | Mr. Tails
Nacer,,Ex
PeeJay,,775 Ya0
Hargi,,OTAKU Strawberryball
PIE | SMUG,,brenttiscool
PeeJay,,Nacer
Revolver Sagod,,DM | Mr. Tails
EG PR Balrog,,Kurokiba
PeeJay,,Kurokiba
Hargi,,Revolver Sagod
brenttiscool,,Hargi
PIE | SMUG,,EG PR Balrog
brenttiscool,,PeeJay
EG PR Balrog,,brenttiscool
PIE | SMUG,,EG PR Balrog
BioBillyBonez,3-0,Beamsprouts
El Ben,3-0,DM John B
JoseR,,Funplayer3s
Krash!,,CalmSpaghetti
bonchan,,BioBillyBonez
Chris Tatarian,,Flapjacket
WillGetPaid,,LF | Luoji - Fenru
My Mom Says I'm Pro,,caderax
Krash!,,El Ben
bonchan,,WillGetPaid
JoseR,,Flapjacket
BioBillyBonez,,LF | Luoji - Fenru
bjUNCHAINED,,SHBL Tim
DM John B,,CalmSpaghetti
SHBL Tim,,Beamsprouts
Funplayer3s,,Flapjacket
Chris Tatarian,,JoseR
bjUNCHAINED,,My Mom Says I'm Pro
SHBL Tim,,caderax
WillGetPaid,,Funplayer3s
BioBillyBonez,,JoseR
SHBL Tim,,El Ben
DM John B,,My Mom Says I'm Pro
SHBL Tim,,WillGetPaid
bjUNCHAINED,,Chris Tatarian
bonchan,,Krash!
Chris Tatarian,,SHBL Tim
DM John B,,BioBillyBonez
Krash!,,DM John B
Chris Tatarian,,Krash!
bjUNCHAINED,,bonchan
bonchan,,Chris Tatarian
bjUNCHAINED,,bonchan
AVM Gamerbee,,Filipinoman
Velociraptor,,Snake Eyez
RZR Fuudo,,Hoodaman
Justin Wong,,AVM Kelvin Jeon
Kazunoko,,SD Pnoy
Ex Pugera,,LPN
Infiltration,,Tempo Chris G.
Liquid KnuckleDu,,Hsien
801 Strider,,CCG Air
EG Momochi,,HellaMindGames Choi
EG K-Brad,,iPeru
MadCatz Daigo,,Vicious
EG Ricky Ortiz,,Marq Teddy
Poongko,,XSK Samurai
PIE Smug,,PR Balrog
BJ Unchained,,Bonchan
AVM Gamerbee,2-0,Velociraptor
Justin Wong,2-0,RZR Fuudo
Kazunoko,2-0,Ex Pugera
Liquid KnuckleDu,2-0,Infiltration
801 Strider,2-0,EG Momochi
MadCatz Daigo,2-1,EG K-Brad
Poongko,2-0,EG Ricky Ortiz
PIE Smug,2-0,BJ Unchained
Snake Eyez,2-0,Filipinoman
Hoodaman,2-0,AVM Kelvin Jeon
SD Pnoy,2-0,LPN
Tempo Chris G.,2-0,Hsien
CCG Air,2-0,HellaMindGames Choi
iPeru,2-1,Vicious
Marq Teddy,2-0,XSK Samurai
Bonchan,2-0,PR Balrog
Snake Eyez,2-1,BJ Unchained
EG Ricky Ortiz,2-1,Hoodaman
SD Pnoy,2-1,EG K-Brad
EG Momochi,2-0,Tempo Chris G.
Infiltration,2-0,CCG Air
Ex Pugera,2-0,iPeru
Marq Teddy,2-0,RZR Fuudo
Bonchan,2-0,Velociraptor
Justin Wong,2-1,AVM Gamerbee
Liquid KnuckleDu,2-0,Kazunoko
MadCatz Daigo,2-1,801 Strider
PIE Smug,2-0,Poongko
Snake Eyez,2-1,EG Ricky Ortiz
EG Momochi,2-0,SD Pnoy
Infiltration,2-0,Ex Pugera
Bonchan,2-1,Marq Teddy
Kazunoko,2-1,Snake Eyez
AVM Gamerbee,2-1,EG Momochi
Infiltration,2-1,Poongko
Bonchan,2-1,801 Strider
Liquid KnuckleDu,3-0,Justin Wong
MadCatz Daigo,3-0,PIE Smug
AVM Gamerbee,3-1,Kazunoko
Bonchan,3-2,Infiltration
AVM Gamerbee,3-0,PIE Smug
Bonchan,3-0,Justin Wong
MadCatz Daigo,3-1,Liquid KnuckleDu
AVM Gamerbee,3-1,Bonchan
AVM Gamerbee,3-0,Liquid KnuckleDu
MadCatz Daigo,3-0,AVM Gamerbee
